alpha,beta,infl_mean,infl_std,fund_drift_pct,eco_infl_corr,eco_burn_corr,eco_burn_per_fee_corr,eco_coupling_expected,eco_coupling_slope,burn_to_mint_ratio,alpha_min,alpha_max,beta_min,beta_max
0.5,0.2,-0.002393905278348655,0.002425386197136195,-1205.1234280080675,0.047064351740767,-0.009694671314580452,1.0,0.020000000000000004,0.019999999999999962,2.3319553195511538,0.5,0.5,0.2,0.2
0.5,0.3,-0.0008599962109191382,0.0007814471860654563,-917.7653573243157,0.018980759568768154,0.012108093769832778,0.9999999999999998,0.020000000000000004,0.020000000000000216,1.564878626885362,0.5,0.5,0.3,0.3
0.5,0.4,-0.00027794856842879614,0.0006296722707557564,-708.6536236473881,-0.03352285054358414,0.04180083496758562,0.9999999999999998,0.020000000000000004,0.0200000000000001,1.1783867178726533,0.5,0.5,0.4,0.4
0.5,0.5,0.00010737789683266432,0.0005523255770391741,-513.5196652517542,0.04885113098055558,-0.041539154843970964,1.0,0.020000000000000004,0.019999999999999855,0.9333996793680592,0.5,0.5,0.5,0.5
0.5,0.6,0.0004137626148513814,0.0005515608377403731,-363.08480066510776,-0.032024476741579336,0.04194268756006113,0.9999999999999997,0.020000000000000004,0.02000000000000015,0.7789204102390038,0.5,0.5,0.6,0.6
0.6,0.2,-0.002476376893105302,0.0025884555423415015,-1176.6454874868487,0.036022606462064205,0.004115751758595161,0.9999999999999997,0.020000000000000004,0.020000000000000056,2.344792986970351,0.6,0.6,0.2,0.2
0.6,0.3,-0.0008429419888243308,0.0008027236529710587,-897.9410198852298,0.0022048916103924905,0.010405030169192012,0.9999999999999997,0.020000000000000004,0.020000000000000018,1.55680341077226,0.6,0.6,0.3,0.3
0.6,0.4,-0.00025243945335623057,0.0005964845902805212,-686.530484085524,-0.0007086745157281525,0.0096788230521267,1.0,0.020000000000000004,0.019999999999999973,1.1633416601998678,0.6,0.6,0.4,0.4
0.6,0.5,0.00010688237530623432,0.0005535873604891812,-512.340509243551,-0.020285287158521587,0.027994475330914276,0.9999999999999998,0.020000000000000004,0.01999999999999984,0.9337158186414328,0.6,0.6,0.5,0.5
0.6,0.6,0.000415284484771705,0.0005669735094343659,-375.6674975663246,-0.024117755414936427,0.03437825767652398,0.9999999999999998,0.020000000000000004,0.02000000000000011,0.7781684995616865,0.6,0.6,0.6,0.6
0.7,0.2,-0.002352329397584975,0.0023407753986190187,-1088.2884535473438,0.01420668692650827,0.055526794675278934,1.0,0.020000000000000004,0.019999999999999803,2.3248535493351214,0.7,0.7,0.2,0.2
0.7,0.3,-0.0008465713876368378,0.000808962694245888,-917.6180079712375,0.011276861396907645,0.008123748015472285,1.0,0.020000000000000004,0.01999999999999979,1.5584738765168524,0.7,0.7,0.3,0.3
0.7,0.4,-0.00025384586900488026,0.0006129197522834623,-704.2656458980621,-0.06006567364689312,0.06684772598489136,1.0,0.020000000000000004,0.019999999999999775,1.1641684327601014,0.7,0.7,0.4,0.4
0.7,0.5,0.00010968632616424156,0.000557859089521682,-509.2806696923545,-0.024268943626683318,0.031029374769827697,0.9999999999999998,0.020000000000000004,0.019999999999999764,0.9319268997230732,0.7,0.7,0.5,0.5
0.7,0.6,0.00040776126386362434,0.0005888165000397046,-373.3957003224586,-0.03175853775926521,0.04157221249480518,0.9999999999999991,0.020000000000000004,0.019999999999999983,0.7818988481346133,0.7,0.7,0.6,0.6
0.8,0.2,-0.002472481758626562,0.002546755821999345,-1198.453927250671,0.03881593803237081,0.03593588610549775,1.0,0.020000000000000004,0.02000000000000003,2.344199067510919,0.8,0.8,0.2,0.2
0.8,0.3,-0.000847135247026569,0.0008039232339616654,-902.7931914212276,0.013900088346069615,0.011365973675743764,0.9999999999999994,0.020000000000000004,0.019999999999999626,1.5587795997981972,0.8,0.8,0.3,0.3
0.8,0.4,-0.0002520103034385552,0.0006238343766868127,-624.7843208538421,-0.003531051056408518,0.011865637874317707,1.0,0.020000000000000004,0.019999999999999882,1.1630877742617385,0.8,0.8,0.4,0.4
0.8,0.5,0.00010091155542449047,0.0005390891920592583,-518.0691214506716,-0.019476566729975164,0.02734766596288102,1.0,0.020000000000000004,0.020000000000000042,0.9375106940655217,0.8,0.8,0.5,0.5
0.8,0.6,0.000407172307293589,0.0005657316857292078,-374.2118886318267,-0.011631462698874358,0.02270535470670215,1.0,0.020000000000000004,0.01999999999999987,0.7821772241321383,0.8,0.8,0.6,0.6
0.9,0.2,-0.002432069929148734,0.002475516404840266,-1255.5293003641982,0.025856572515214574,0.005828044688148448,0.9999999999999994,0.020000000000000004,0.0200000000000001,2.337971666216388,0.9,0.9,0.2,0.2
0.9,0.3,-0.0008678782440631914,0.0008318392495168934,-979.172524431429,-0.0019555195349839267,0.01911844008552904,1.0,0.020000000000000004,0.019999999999999987,1.5685318031832285,0.9,0.9,0.3,0.3
0.9,0.4,-0.0002563323463567234,0.0006075580904947675,-656.4292177386488,-0.005543257422880292,0.013372149623311597,1.0,0.020000000000000004,0.01999999999999998,1.1656572056981611,0.9,0.9,0.4,0.4
0.9,0.5,0.0001059342224303694,0.0005557348241315698,-518.4065957671628,0.010817175397201737,-0.0009928557090062825,1.0,0.020000000000000004,0.0200000000000002,0.9343156798880888,0.9,0.9,0.5,0.5
0.9,0.6,0.0004113562705761549,0.0005725522845846064,-369.8174261539995,-0.02471906143469851,0.03465294430922995,0.9999999999999998,0.020000000000000004,0.020000000000000046,0.7800939318902217,0.9,0.9,0.6,0.6
